UUID,Username,Password,Role,FirstName,LastName,Email,DateOfInfection,OnMedication,StartDateOfMedication,DOB,Country
=9c70b4ed-c1ea-4922-9522-de81c4556a29,admin,a883dafc480d466ee04e0d6da986bd78eb1fdd2178d04693723da3a8f95d42f4  -,admin,user,name,adminusername@lpmt.com,Wed Dec 12 00:00:00 CAT 2023,true,Wed Dec 12 00:00:00 CAT 2023,Wed Dec 12 00:00:00 CAT 2003,Kenya
=b64e04c2-604d-4afe-8f06-f892644a9939,helwett,a883dafc480d466ee04e0d6da986bd78eb1fdd2178d04693723da3a8f95d42f4  -,patient,Helwett,packard,hp@lpmt.com,Wed Dec 12 00:00:00 CAT 2013,true,Tue Dec 12 00:00:00 CAT 2017,Thu Dec 12 00:00:00 CAT 2002,Kenya
=0ff2db68-7a90-420d-91b0-cd9bc691c6fe,AFRICA,a883dafc480d466ee04e0d6da986bd78eb1fdd2178d04693723da3a8f95d42f4  -,patient,Yetu,Afrika,afrika@lpmt.com,Fri Mar 05 00:00:00 CAT 2010,true,Mon Mar 12 00:00:00 CAT 2012,Sun Aug 04 00:00:00 CAT 2002,Egypt
1c94a7a6-8e0c-44b2-b552-28dc802ff215,rothsean,j(4R*7sg1+,admin,Shane,Ramirez,mitchellfuller@example.org,Fri Feb 11 00:00:00 CAT 2022,False,Fri Oct 07 00:00:00 CAT 2022,Sat Dec 09 00:00:00 CAT 1978,Palau
29930a0b-b2f9-47fe-9fb1-a2be8a654e34,jamiesingleton,482AStMM&i,admin,Betty,Morales,vpeterson@example.net,Sun May 20 00:00:00 CAT 2018,True,Sat Sep 28 00:00:00 CAT 2019,Wed Sep 07 00:00:00 CAT 2016,Macao
b18df89d-6eba-4016-b451-1c5ff8f2bf06,christianjones,32rnLaff*^,admin,Mary,Anderson,jerry05@example.net,Mon Apr 29 00:00:00 CAT 2019,False,Sat Nov 26 00:00:00 CAT 2022,Wed Jan 24 00:00:00 CAT 1951,Guernsey
f02067b1-1e89-416e-bce4-457f9c4e64c5,barbaratran,V(TdfnTz!3,patient,Carolyn,Meyer,michaeldouglas@example.net,Sun Jul 16 00:00:00 CAT 2023,False,Wed Aug 16 00:00:00 CAT 2023,Fri May 13 00:00:00 CAT 2022,French Guiana
1c94a7a6-8e0c-44b2-b552-28dc802ff215,rothsean,j(4R*7sg1+,admin,Shane,Ramirez,mitchellfuller@example.org,Fri Feb 11 00:00:00 CAT 2022,False,Fri Oct 07 00:00:00 CAT 2022,Sat Dec 09 00:00:00 CAT 1978,Palau
29930a0b-b2f9-47fe-9fb1-a2be8a654e34,jamiesingleton,482AStMM&i,admin,Betty,Morales,vpeterson@example.net,Sun May 20 00:00:00 CAT 2018,True,Sat Sep 28 00:00:00 CAT 2019,Wed Sep 07 00:00:00 CAT 2016,Macao
b18df89d-6eba-4016-b451-1c5ff8f2bf06,christianjones,32rnLaff*^,admin,Mary,Anderson,jerry05@example.net,Mon Apr 29 00:00:00 CAT 2019,False,Sat Nov 26 00:00:00 CAT 2022,Wed Jan 24 00:00:00 CAT 1951,Guernsey
f02067b1-1e89-416e-bce4-457f9c4e64c5,barbaratran,V(TdfnTz!3,patient,Carolyn,Meyer,michaeldouglas@example.net,Sun Jul 16 00:00:00 CAT 2023,False,Wed Aug 16 00:00:00 CAT 2023,Fri May 13 00:00:00 CAT 2022,French Guiana
4d653f75-bc99-490a-aed8-cf3d4986d965,zhenry,a#3YJYiwtD,admin,Leon,Beard,washingtonkenneth@example.com,Sat Dec 23 00:00:00 CAT 2000,False,Thu Jul 21 00:00:00 CAT 2016,Tue Aug 27 00:00:00 CAT 1991,Trinidad and Tobago
3901db53-3e6b-44b5-81ea-01b0a27e72ee,wroberts,t@tGPupc$6,patient,Ryan,Rice,williammclaughlin@example.com,Sat May 25 00:00:00 CAT 1991,True,Wed Jan 18 00:00:00 CAT 1995,Sun Mar 19 00:00:00 CAT 1989,Germany
3ff5c450-4cee-4cac-ab4b-5a26be669e4d,laurarivera,vPU8ALZp$5,patient,Crystal,Mills,ncollins@example.com,Tue Jun 22 00:00:00 CAT 1982,False,Wed Nov 20 00:00:00 CAT 2019,Sun Nov 27 00:00:00 CAT 1966,Cuba
1d83cd53-20ac-400c-be1f-3055a904ecb6,cohengregory,aPF@Y4Rz@4,patient,Paige,Stevens,kristinhoover@example.net,Mon Jul 21 00:00:00 CAT 1975,True,Sun Mar 10 00:00:00 CAT 2024,Sun Feb 22 00:00:00 CAT 1970,Honduras
1725046c-0455-4015-9ea6-9141c9e1b491,william23,&8)WbRm^dW,patient,Julie,Stanton,victoria67@example.com,Fri Sep 07 00:00:00 CAT 2001,True,Sun Jul 28 00:00:00 CAT 2024,Sat Dec 30 00:00:00 CAT 1972,Ecuador
33a4b116-2b9b-46e8-a378-6e315b9a538f,jamesflores,^p!DTWg$8T,patient,Brenda,Smith,allenbenjamin@example.com,Sat Oct 05 00:00:00 CAT 2019,True,Sun May 16 00:00:00 CAT 2021,Sun Aug 13 00:00:00 CAT 2017,Germany
b77b62bf-cffc-4a33-b7a2-5e5e074bd96f,prattlisa,NIY+w6Pepz,patient,Regina,Goodman,crobinson@example.net,Wed Feb 08 00:00:00 CAT 1989,False,Wed Mar 18 00:00:00 CAT 2009,Sat Apr 17 00:00:00 CAT 1976,Latvia
a88e013d-02ee-4296-8feb-9b3793c5dd4c,ukemp,)0GNx6f4D*,patient,Jason,Mccall,rgallegos@example.com,Sat Sep 19 00:00:00 CAT 1998,False,Wed Nov 17 00:00:00 CAT 2004,Fri Aug 21 00:00:00 CAT 1992,Belize
0a893c6b-1456-40c5-be22-67f80b9d3ea8,qcoleman,)0itM_zHMc,admin,Jamie,Martinez,rodriguezmichael@example.net,Sun May 13 00:00:00 CAT 2001,False,Mon Oct 05 00:00:00 CAT 2020,Sun May 12 00:00:00 CAT 1996,Palestinian Territory
baf6fc1e-7859-4be5-85de-3b0b43d662b3,uramirez,$5dUBh_0)$,admin,Kevin,Cobb,qtapia@example.org,Fri Apr 07 00:00:00 CAT 1995,True,Mon Dec 15 00:00:00 CAT 2014,Wed Mar 08 00:00:00 CAT 1967,Myanmar
1aa70300-b56b-4c96-92e9-9a07e76057b2,srogers,+FAPeoeO&3,patient,Daniel,Bradley,shelly17@example.org,Mon Jul 07 00:00:00 CAT 1969,True,Wed Dec 12 00:00:00 CAT 1990,Mon Oct 30 00:00:00 CAT 1950,Chad
3cd9ffd4-b6e4-459c-8673-68c093d5ecf2,carpenterjeffrey,%U67OqMnv&,patient,Eric,Peck,pacepatricia@example.net,Sat Oct 22 00:00:00 CAT 2016,True,Thu Aug 31 00:00:00 CAT 2017,Wed Jun 23 00:00:00 CAT 2010,Saint Barthelemy
d632622f-901b-4d61-a7eb-11ad33367a61,rodriguezanthony,qsGRMad7+7,patient,Michael,May,lambalyssa@example.net,Tue May 22 00:00:00 CAT 2018,False,Wed Sep 20 00:00:00 CAT 2023,Sun Apr 21 00:00:00 CAT 1985,Mali
693e0787-ac5c-4645-ba7b-b494ca58ce0c,jessicalong,d)6SoJSui(,admin,Christopher,Ray,marydawson@example.com,Tue Sep 01 00:00:00 CAT 2020,True,Thu May 20 00:00:00 CAT 2021,Wed Feb 19 00:00:00 CAT 1992,Micronesia
4b075b07-c1b3-4b05-9c21-7de9e8f55ab2,hortoncharles,m5RDnM3h+m,patient,Robert,King,dylan32@example.org,Sat May 28 00:00:00 CAT 2016,True,Tue Jun 18 00:00:00 CAT 2019,Sat Jun 10 00:00:00 CAT 2006,Comoros
d5bc6f67-b63c-47ff-a518-494dd8a6b6bd,gsmith,pn@0Zlvy$V,admin,Brian,Mason,crystal17@example.com,Wed Mar 13 00:00:00 CAT 1968,False,Mon Dec 30 00:00:00 CAT 1985,Sun Jan 20 00:00:00 CAT 1952,Lesotho
14884465-4dbc-44bd-9317-875da8c7a235,timothydominguez,d0YUg%n++X,admin,Ruth,Cook,tonya63@example.net,Mon Aug 22 00:00:00 CAT 1994,True,Fri Aug 06 00:00:00 CAT 1999,Thu Mar 23 00:00:00 CAT 1989,French Polynesia
f0543b34-71c3-4a80-9543-c56e3cce558a,lindsayaguilar,cm6)+TUl)j,admin,Jaime,Cox,cherman@example.net,Sun Jun 14 00:00:00 CAT 1987,False,Mon Nov 27 00:00:00 CAT 2000,Mon Feb 18 00:00:00 CAT 1985,Moldova
a0f6b082-3594-480c-b7d2-2a112de04059,kevincabrera,V^(7s+BiED,admin,Shane,Cook,danielsthomas@example.net,Fri Dec 24 00:00:00 CAT 2021,False,Tue May 23 00:00:00 CAT 2023,Sun Oct 17 00:00:00 CAT 2021,Saint Vincent and the Grenadines
1c94a7a6-8e0c-44b2-b552-28dc802ff215,rothsean,j(4R*7sg1+,admin,Shane,Ramirez,mitchellfuller@example.org,Fri Feb 11 00:00:00 CAT 2022,False,Fri Oct 07 00:00:00 CAT 2022,Sat Dec 09 00:00:00 CAT 1978,Palau
29930a0b-b2f9-47fe-9fb1-a2be8a654e34,jamiesingleton,482AStMM&i,admin,Betty,Morales,vpeterson@example.net,Sun May 20 00:00:00 CAT 2018,True,Sat Sep 28 00:00:00 CAT 2019,Wed Sep 07 00:00:00 CAT 2016,Macao
b18df89d-6eba-4016-b451-1c5ff8f2bf06,christianjones,32rnLaff*^,admin,Mary,Anderson,jerry05@example.net,Mon Apr 29 00:00:00 CAT 2019,False,Sat Nov 26 00:00:00 CAT 2022,Wed Jan 24 00:00:00 CAT 1951,Guernsey
f02067b1-1e89-416e-bce4-457f9c4e64c5,barbaratran,V(TdfnTz!3,patient,Carolyn,Meyer,michaeldouglas@example.net,Sun Jul 16 00:00:00 CAT 2023,False,Wed Aug 16 00:00:00 CAT 2023,Fri May 13 00:00:00 CAT 2022,French Guiana
4d653f75-bc99-490a-aed8-cf3d4986d965,zhenry,a#3YJYiwtD,admin,Leon,Beard,washingtonkenneth@example.com,Sat Dec 23 00:00:00 CAT 2000,False,Thu Jul 21 00:00:00 CAT 2016,Tue Aug 27 00:00:00 CAT 1991,Trinidad and Tobago
3901db53-3e6b-44b5-81ea-01b0a27e72ee,wroberts,t@tGPupc$6,patient,Ryan,Rice,williammclaughlin@example.com,Sat May 25 00:00:00 CAT 1991,True,Wed Jan 18 00:00:00 CAT 1995,Sun Mar 19 00:00:00 CAT 1989,Germany
3ff5c450-4cee-4cac-ab4b-5a26be669e4d,laurarivera,vPU8ALZp$5,patient,Crystal,Mills,ncollins@example.com,Tue Jun 22 00:00:00 CAT 1982,False,Wed Nov 20 00:00:00 CAT 2019,Sun Nov 27 00:00:00 CAT 1966,Cuba
